year,award,title,author
2009,Shortlist,The Wilderness,Samantha Harvey
2009,Shortlist,Scottsboro,Ellen Feldman
2009,Shortlist,Molly Fox’s Birthday,Deirdre Madden
2009,Longlist,The Personal History Of Rachel Du Pree,Ann Weisgarber
2009,Longlist,The Flying Troutmans,Miriam Toews
2009,Longlist,American Wife,Curtis Sittenfeld
2009,Longlist,Evening Is The Whole Day,Preeta Samarasan
2009,Longlist,The Russian Dreambook Of Color And Flight,Gina Ochsner
2009,Longlist,The Lost Dog,Michelle De Kretser
2009,Longlist,Intuition,Allegra Goodman
2009,Longlist,Love Marriage,V Ganeshananthan
2009,Longlist,Strange Music,Laura Fish
2009,Longlist,Blonde Roots,Bernardine Evaristo
2009,Longlist,Their Finest Hour And A Half,Lissa Evans
2009,Longlist,Girl In A Blue Dress,Gaynor Arnold
2009,Longlist,The Household Guide To Dying,Debra Adelaide
2009,Longlist,A Mercy,Toni Morrison
2008,Longlist,The Road Home,Rose Tremain
2008,Winner,The Road Home,Rose Tremain
2008,Shortlist,Lottery,Patricia Wood
2008,Shortlist,Lullabies For Little Criminals,Heather O’Neill
2008,Shortlist,Fault Lines,Nancy Huston
2008,Shortlist,The Outcast,Sadie Jones
2008,Shortlist,When We Were Bad,Charlotte Mendelson
2008,Longlist,Monster Love,Carol Topolski
2008,Longlist,The End Of Mr Y,Scarlett Thomas
2008,Longlist,The Septembers Of Shiraz,Dalia Sofer
2008,Longlist,The Bastard Of Istanbul,Elif Shafak
2008,Longlist,Mistress,Anita Nair
2008,Longlist,In The Dark,Deborah Moggach
2008,Longlist,The Voluptuous Delights Of Peanut Butter And Jam,Lauren Liebenberg
2008,Longlist,Sorry,Gail Jones
2008,Longlist,The Master Bedroom,Tessa Hadley
2008,Longlist,The Clothes On Their Backs,Linda Grant
2008,Longlist,The Gathering,Anne Enright
2008,Longlist,The Keep,Jennifer Egan
2008,Longlist,The Room Of Lost Things,Stella Duffy
2008,Longlist,The Blood Of Flowers,Anita Amirrezvani
2007,Longlist,Half Of A Yellow Sun,Chimamanda Ngozi Adichie
2007,Winner,Half Of A Yellow Sun,Chimamanda Ngozi Adichie
2007,Shortlist,Digging To America,Anne Tyler
2007,Shortlist,The Observations,Jane Harris
2007,Shortlist,A Concise Chinese English Dictionary For Lovers,Xiaolu Guo
2007,Shortlist,The Inheritance Of Loss,Kiran Desai
2007,Shortlist,Arlington Park,Rachel Cusk
2007,Longlist,The Dissident,Nell Freudenberger
2007,Longlist,The Housekeeper,Melanie Wallace
2007,Longlist,Ten Days In The Hills,Jane Smiley
2007,Longlist,Afterwards,Rachel Seiffert
2007,Longlist,Careless,Deborah Robertson
2007,Longlist,The Tenderness Of Wolves,Stef Penney
2007,Longlist,What Was Lost,Catherine O’Flynn
2007,Longlist,Alligator,Lisa Moore
2007,Longlist,The Girls,Lori Lansens
2007,Longlist,Carry Me Down,M.J. Hyland
2007,Longlist,When To Walk,Rebecca Gowers
2007,Longlist,Over,Margaret Forster
2007,Longlist,Peripheral Vision,Patricia Ferguson
2007,Longlist,Poppy Shakespeare,Clare Allan
2006,Shortlist,The Night Watch,Sarah Waters
2006,Shortlist,Everyman’s Rules For Scientific Living,
2006,Shortlist,The Accidental,Ali Smith
2006,Shortlist,Beyond Black,Hilary Mantel
2006,Shortlist,The History Of Love,Nicole Krauss
2006,Longlist,Dreams Of Speaking,Gail Jones
2006,Longlist,The Position,Meg Wolitzer
2006,Longlist,Frangipani,Célestine Hitiura Vaite
2006,Longlist,Prep,Curtis Sittenfeld
2006,Longlist,Gilead,Marilynne Robinson
2006,Longlist,Rape A Love Story,Joyce Carol Oates
2006,Longlist,Lost In The Forest,Sue Miller
2006,Longlist,White Ghost Girls,Alice Greenway
2006,Longlist,The Constant Princess,Philippa Gregory
2006,Longlist,House Of Orphans,Helen Dunmore
2006,Longlist,Watch Me Disappear,Jill Dawson
2006,Longlist,Disobedience,Naomi Alderman
2006,Longlist,Harbor,Lorraine Adams
2006,Longlist,Minaret,Leila Aboulela
2005,Winner,We Need To Talk About Kevin,Lionel Shriver
2005,Shortlist,A Short History Of Tractors In Ukrainian,Marina Lewycka
2005,Shortlist,Liars And Saints,Maile Meloy
2005,Shortlist,The Mammoth Cheese,Sheri Holman
2005,Shortlist,Old Filth,Jane Gardam
2005,Shortlist,Billie Morgan,Joolz Denby
